O,D,Bike_time,Bike_dist
1,1,0,0
1,2,2890,14.4
1,3,1136.29,5.66
1,4,405.67,2.03
1,5,772.73,3.72
1,6,2885.55,14.21
1,7,1267.04,6.32
1,8,2482.21,11.88
1,9,844.36,4.22
1,10,1782.38,8.6
1,11,876.6,3.75
1,12,1013.08,5.03
1,13,1013.3,5.02
1,14,3304.63,16.29
1,15,2854.89,14.2
1,16,2053.43,10
1,17,1796.45,8.98
1,18,1177.18,5.88
1,19,2102.48,10.39
1,20,511.95,2.56
1,21,3340.08,16.62
1,22,2683.11,13.36
1,23,273.64,1.37
1,24,1028.39,5.14
1,25,713.7,3.57
1,26,1745.28,8.73
1,27,1108.92,5.54
1,28,954.43,4.76
1,29,2241.73,11.05
1,30,1085.64,5.43
1,31,1414.6,7.06
1,32,2935.46,14.53
1,33,2240.9,11.19
1,34,2222.31,10.95
1,35,2802.12,13.83
1,36,1388.35,6.7
1,37,588.42,2.83
1,38,1550.13,7.71
1,39,3348.45,16.61
1,40,4733.62,22.95
1,41,3348.15,16.73
1,42,2267.26,11.33
1,43,2912.06,14.03
1,44,5063.45,25.16
1,45,2404.86,11.97
1,46,3249.07,16.11
1,47,3905.81,19.32
1,48,2965.93,14.82
1,49,2957.38,14.78
1,50,3513.14,17.08
1,51,3478.34,17.24
1,52,2975.43,14.8
1,53,4177.74,20.48
1,54,3325.65,16.57
1,55,2889.29,14.43
1,56,1218.58,6.09
1,57,2082.53,10.09
1,58,2616.69,13.08
1,59,2853.34,14.26
1,60,1497.12,7.47
1,61,2702.85,13.46
1,62,2664,13.29
1,63,2960.25,14.71
1,64,4171.25,20.75
1,65,4336.92,21.35
1,66,1433.43,7.1
1,67,2372.79,11.73
1,68,2783.06,13.77
1,69,1752.95,8.72
1,70,2032.65,9.64
1,71,2367.19,11.79
1,72,3602.42,17.8
1,73,1935.11,9.66
1,74,2866.04,14.32
1,75,4048.97,19.91
1,76,3719.75,18.59
1,77,4102.56,20.35
1,78,2774.23,13.63
1,79,1767.29,8.75
1,80,2765.16,13.77
1,81,2819.44,14.05
1,82,1762.93,8.71
1,83,851.73,4.26
1,84,581.05,2.91
1,85,1583.25,7.89
1,86,1080.14,5.22
1,87,1340.69,6.7
1,88,3343.64,16.66
1,89,2700.94,13.42
1,90,1984.35,9.87
1,91,2196.18,10.05
1,92,1642.48,8.2
1,93,1641.71,8.2
1,94,2138.48,10.67
1,95,1694.45,8.46
1,96,2272.03,11.35
