O,D,Car_time,Car_dist
1,1,0,0
1,2,1269.72,15.58
1,3,587,4.65
1,4,295.76,2.03
1,5,367.4,3.83
1,6,1258.93,15.94
1,7,571.34,5.16
1,8,1125.42,11.58
1,9,384.95,4.04
1,10,1005.15,8.28
1,11,400.17,3.51
1,12,625.14,5.67
1,13,538.87,5.45
1,14,1251.93,16.48
1,15,894.72,14.33
1,16,838.61,9.89
1,17,684.02,8.22
1,18,538.93,6.17
1,19,1268.99,10.92
1,20,363.57,2.41
1,21,1389.99,17.76
1,22,1211.96,14.64
1,23,219.18,1.53
1,24,573.72,4.78
1,25,524.54,3.71
1,26,839.65,9.3
1,27,592.26,6.26
1,28,547.21,5.63
1,29,1057.26,12.22
1,30,437.32,5.63
1,31,656.91,6.96
1,32,1021.07,13.87
1,33,838.18,10.99
1,34,788.87,11.31
1,35,1178.08,14.84
1,36,727.83,6.06
1,37,458.63,2.96
1,38,793.29,7.04
1,39,1548.93,17.54
1,40,1754.02,22.33
1,41,1048.71,16.74
1,42,722.86,10.55
1,43,1385.24,15.24
1,44,1669.61,22.46
1,45,1182.38,12.57
1,46,1555.34,16.68
1,47,1584.04,20.32
1,48,1302.5,14.72
1,49,1486.74,15.9
1,50,1809.9,17.71
1,51,1482.32,16.79
1,52,1244.89,15.01
1,53,1312.38,18.99
1,54,985.94,15.73
1,55,962.66,13.67
1,56,548.91,6.02
1,57,1001.92,9.75
1,58,1220.52,13.65
1,59,1278.86,13.45
1,60,642.89,8.04
1,61,1211.43,14.19
1,62,909.87,13.44
1,63,1123.32,15.45
1,64,1647.68,22.46
1,65,1539.55,20.55
1,66,893.61,8.12
1,67,1206.19,13.05
1,68,1126.21,15.26
1,69,854.52,9.24
1,70,1085.24,11.76
1,71,834.73,11.94
1,72,1388.29,18.06
1,73,967.69,10.81
1,74,1316.08,14.51
1,75,1522.89,19.48
1,76,1702.77,19.07
1,77,1897.53,20.71
1,78,1100.45,15.25
1,79,807.83,8.97
1,80,870.41,12.97
1,81,1208.57,15.98
1,82,655.05,9.27
1,83,388.04,4.78
1,84,244.51,2.54
1,85,755.56,8.94
1,86,518.36,6.16
1,87,645.99,7.12
1,88,1044.46,15.74
1,89,1028.34,14
1,90,741.64,7.81
1,91,974.67,9.22
1,92,791.84,8.82
1,93,787.47,8.1
1,94,890.91,9.75
1,95,749.41,7.63
1,96,999.76,11.67
1,97,1273.98,18.14
1,98,1256.74,17.88
1,99,1124.11,12.65
1,100,666.18,7.38
1,101,1526.14,21.09
1,102,1451.61,20.21
1,103,1137.2,11.86
1,104,1094.21,9.36
1,105,1348.09,15.06
1,106,1045.29,10.71
1,107,1369.16,14.25
1,108,1175.94,13.01
1,109,890.84,10.11
1,110,1279.33,13.04
1,111,1098.54,12.08
1,112,1151.37,15.2
1,113,2024.64,24.9
1,114,1026.42,10.97
2,1,1265.33,16.21
2,2,0,0
2,3,1056.94,13.12
2,4,1111.14,14.34
2,5,1218.24,15.35
2,6,264.35,3.5
2,7,831.63,11.58
2,8,973.74,10.35
2,9,1439.51,17.11
2,10,979.41,9.93
2,11,1303.64,15.61
2,12,1273.43,14.43
2,13,1712.08,21.36
2,14,1883.06,20.5
2,15,1589.34,19.29
2,16,1991.66,22.9
2,17,1857.23,24.13
2,18,1712.14,22.08
2,19,2442.2,26.83
2,20,1259.89,15.32
2,21,189.63,2.3
2,22,183.41,2.08
2,23,1387.24,17.34
2,24,1069.07,13.74
2,25,1655.11,19.33
2,26,1190.46,16.29
2,27,902.16,11.91
2,28,1094.16,14.05
2,29,536.95,6.89
2,30,1162.4,15.31
2,31,900.08,14.02
2,32,402.52,5.71
2,33,1961.73,22.25
2,34,1586.32,19.28
2,35,1985.28,23.14
2,36,1019.82,12.87
2,37,1179.19,14.82
2,38,1082.98,11.91
2,39,985.67,13.94
2,40,1474.08,20.67
2,41,1743.33,21.7
2,42,1374.48,15.11
2,43,1206.96,13.18
2,44,2842.82,38.37
2,45,457.61,4.62
2,46,992.08,13.09
2,47,1068.82,15.88
2,48,1231.63,15.8
2,49,1659.51,19.55
2,50,1739.03,18.79
2,51,1319.03,18.8
2,52,736.86,8.84
2,53,2485.59,34.9
2,54,2120.8,25.56
2,55,2065.01,24.05
2,56,1395.45,15.97
2,57,971.2,10.1
2,58,1442.42,18.97
2,59,1232.65,15.87
2,60,1757.74,19.94
2,61,474.8,5.15
2,62,2083.08,29.34
2,63,2296.53,31.36
2,64,1367.73,20.79
2,65,1259.6,18.88
2,66,831.76,10.42
2,67,465.11,4.73
2,68,331.99,4.61
2,69,693.46,8.58
2,70,668.93,8.27
2,71,2007.94,27.85
2,72,818.16,10.81
2,73,1075.54,14.7
2,74,746.32,10.48
2,75,1289.63,18.36
2,76,1571.1,22.67
2,77,1765.85,24.31
2,78,2273.66,31.15
2,79,1981.04,24.88
2,80,1450.06,16.06
2,81,1481.31,16.55
2,82,1452.5,17.24
2,83,1561.25,20.69
2,84,1413.92,18.4
2,85,1204.06,17.53
2,86,1305.99,16.48
2,87,1210.25,17.51
2,88,2217.67,31.65
2,89,1659.47,18.02
2,90,1271.06,13.13
2,91,1178.4,12.45
2,92,1090.36,14.92
2,93,863.7,12.81
2,94,703.04,10.79
2,95,993.79,12.85
2,96,1221.66,16.99
2,97,229.62,3.05
2,98,463.8,4.76
2,99,1410.65,17.47
2,100,1024,15.63
2,101,346.3,4.43
2,102,2624.82,36.12
2,103,536.02,6.26
2,104,989.94,11.63
2,105,611.46,6.02
2,106,1252.84,13.94
2,107,1142.13,11.54
