UPlCodigo,UPlTipo,UPlNombre,UPlAAdmini,UPlArea,SHAPE_Leng,SHAPE_Area,x,y
UPZ100,"1",GALERIAS,Dec 621 de 2006,2375681.1309000002,0.0605627700,0.0001934658,-74.0727543077,4.6435435782
UPZ83,"1",LAS MARGARITAS,,1472415.4649000000,0.0580927239,0.0001199067,-74.1783538096,4.6371083073
UPZ107,"1",QUINTA PAREDES,Dec 086 de 2011,1739559.5405999999,0.0595758059,0.0001416604,-74.0895408745,4.6307248071
UPZ101,"1",TEUSAQUILLO,"Dec 492 de 2007 Mod.=Res 253 de 2009, Dec 591 de 2014, 265 de 2015, 093 de 2017",2357007.9736000001,0.0635654395,0.0001919412,-74.0739242816,4.6279604906
UPZ91,"1",SAGRADO CORAZON,"Dec 492 de 2007 Mod.=Res 249 de 2009, Dec 093 de 2017, 486 de 2017, 791 de 2017, 110 de 2018",1467629.6873000001,0.0649119504,0.0001195142,-74.0659436484,4.6198451618
UPZ81,"1",GRAN BRITALIA,Dec 217 de 2005,1799021.0385000000,0.0692174811,0.0001465005,-74.1749736241,4.6198836954
UPZ108,"1",ZONA INDUSTRIAL,Dec 317 de 2011 Mod.=Res 497 de 2012,3469535.2294000001,0.0710129243,0.0002825358,-74.0971880013,4.6189245743
UPZ75,"1",FONTIBON,,4964574.3743000003,0.0782401231,0.0004043146,-74.1439372681,4.6770277015
UPZ22,"1",DOCE DE OCTUBRE,Dec 287 de 2005 Mod. =Dec 134 de 2010,3362551.0797999999,0.0690563562,0.0002738435,-74.0792999422,4.6718379875
UPZ114,"1",MODELIA,Dec 903 de 2001 Mod.=Res 940 de 2006,2615813.6551999999,0.0663646312,0.0002130286,-74.1224167087,4.6664853851
UPZ103,"1",PARQUE SALITRE,Dec 255 de 2004,1652469.0848000001,0.0540471116,0.0001345738,-74.0853987823,4.6611064553
UPZ105,"1",JARDIN BOTANICO,,1617052.1176000000,0.0471750637,0.0001316901,-74.1018609978,4.6629408607
