O,D,Walk_time,Walk_dist
1,1,0,0
1,2,10606.95,14.73
1,3,2688.87,3.73
1,4,1445.75,2.01
1,5,2595.37,3.6
1,6,10187.22,14.15
1,7,3861.57,5.36
1,8,8360.08,11.61
1,9,3080.95,4.28
1,10,5751.83,7.99
1,11,2778.19,3.86
1,12,3603.32,5
1,13,3310.47,4.6
1,14,10907.72,15.15
1,15,9503.07,13.2
1,16,7143.35,9.92
1,17,5848.6,8.12
1,18,4127.08,5.73
1,19,8854.59,12.3
1,20,1747.82,2.43
1,21,12204.8,16.95
1,22,9887.88,13.73
1,23,941.87,1.31
1,24,3256.62,4.52
1,25,1988.2,2.76
1,26,6375.28,8.85
1,27,3849.35,5.35
1,28,3542.75,4.92
1,29,7638.61,10.61
1,30,3646.96,5.07
1,31,5166.66,7.18
1,32,10408.38,14.46
1,33,7951.48,11.04
1,34,7133.4,9.91
1,35,9775.77,13.58
1,36,4303.71,5.98
1,37,2070.12,2.88
1,38,4884.48,6.78
1,39,11924.02,16.56
1,40,16062.61,22.31
1,41,11337.55,15.75
1,42,7259.84,10.08
1,43,10432.38,14.49
1,44,17459.24,24.25
1,45,8606.6,11.95
1,46,11565.49,16.06
1,47,11799.52,16.39
1,48,10442.15,14.5
1,49,10905.17,15.15
1,50,11814.16,16.41
1,51,11540.39,16.03
1,52,9928.38,13.79
1,53,14706.85,20.43
1,54,11729.84,16.29
1,55,9992.54,13.88
1,56,4501.6,6.25
1,57,7277.47,10.11
1,58,9677.51,13.44
1,59,9445.86,13.12
1,60,5727.33,7.95
1,61,10133.21,14.07
1,62,9717.02,13.5
1,63,10623.4,14.75
1,64,14876.12,20.66
1,65,14706.02,20.43
1,66,5072.49,7.05
1,67,8357.64,11.61
1,68,9642.77,13.39
1,69,6128.81,8.51
1,70,6887.34,9.57
1,71,8558.79,11.89
1,72,12236.68,17
1,73,7046.98,9.79
1,74,10360.57,14.39
1,75,13665.59,18.98
1,76,13647.41,18.95
1,77,14968.12,20.79
1,78,9556.95,13.27
1,79,5982.33,8.31
1,80,8825.52,12.26
