O,D,str.dist,Bike_ta,Bike_da,Walk_ta,Walk_da,Car_ta,Car_da,Bike_dr,Walk_dr,Car_dr
1,1,0,0,0,0,0,0,0,NA,NA,NA
1,2,11.7385978,2890,14.4,10606.95,14.73,1269.72,15.58,1.226722326,1.254834713,1.327245406
1,3,2.340646336,1136.29,5.66,2688.87,3.73,587,4.65,2.418135501,1.593576929,1.986630756
1,4,1.728084652,405.67,2.03,1445.75,2.01,295.76,2.03,1.174710971,1.163137464,1.174710971
1,5,2.727391098,772.73,3.72,2595.37,3.6,367.4,3.83,1.363940801,1.319942711,1.404272384
1,6,11.6399426,2885.55,14.21,10187.22,14.15,1258.93,15.94,1.220796398,1.215641733,1.36942256
1,7,3.842095337,1267.04,6.32,3861.57,5.36,571.34,5.16,1.644935757,1.395072097,1.343017168
1,8,8.722903233,2482.21,11.88,8360.08,11.61,1125.42,11.58,1.36193188,1.330978883,1.327539661
1,9,3.212025658,844.36,4.22,3080.95,4.28,384.95,4.04,1.313812668,1.332492469,1.257773265
1,10,6.066238033,1782.38,8.6,5751.83,7.99,1005.15,8.28,1.417682582,1.317126027,1.364931603
1,11,2.395870555,876.6,3.75,2778.19,3.86,400.17,3.51,1.565193075,1.611105405,1.465020718
1,12,3.876961955,1013.08,5.03,3603.32,5,625.14,5.67,1.297407625,1.289669607,1.462485334
1,13,3.814061913,1013.3,5.02,3310.47,4.6,538.87,5.45,1.316182095,1.206063274,1.428922793
1,14,11.91880702,3304.63,16.29,10907.72,15.15,1251.93,16.48,1.366747526,1.271100369,1.382688718
1,15,10.21668428,2854.89,14.2,9503.07,13.2,894.72,14.33,1.389883411,1.292004298,1.402607696
1,16,8.079423068,2053.43,10,7143.35,9.92,838.61,9.89,1.237712138,1.227810441,1.224097305
1,17,6.533217587,1796.45,8.98,5848.6,8.12,684.02,8.22,1.374514147,1.242879162,1.258185556
1,18,4.360081064,1177.18,5.88,4127.08,5.73,538.93,6.17,1.348598779,1.314195749,1.415111304
1,19,6.490048695,2102.48,10.39,8854.59,12.3,1268.99,10.92,1.600912487,1.895209201,1.682575973
1,20,1.599344948,511.95,2.56,1747.82,2.43,363.57,2.41,1.60065532,1.519372042,1.506866923
1,21,13.24444827,3340.08,16.62,12204.8,16.95,1389.99,17.76,1.25486541,1.27978151,1.34093921
1,22,10.83291483,2683.11,13.36,9887.88,13.73,1211.96,14.64,1.233278412,1.267433577,1.351436822
1,23,1.136861097,273.64,1.37,941.87,1.31,219.18,1.53,1.205072461,1.152295565,1.345810851
1,24,3.22227996,1028.39,5.14,3256.62,4.52,573.72,4.78,1.595143831,1.402733486,1.483421695
1,25,1.8191064,713.7,3.57,1988.2,2.76,524.54,3.71,1.962502029,1.517228459,2.039462892
1,26,7.376470832,1745.28,8.73,6375.28,8.85,839.65,9.3,1.183492784,1.199760726,1.260765508
1,27,4.143724747,1108.92,5.54,3849.35,5.35,592.26,6.26,1.33696139,1.291108924,1.510718105
1,28,3.822367292,954.43,4.76,3542.75,4.92,547.21,5.63,1.245301573,1.287160449,1.472909213
1,29,8.634445595,2241.73,11.05,7638.61,10.61,1057.26,12.22,1.279757904,1.228799219,1.415261682
1,30,4.267411942,1085.64,5.43,3646.96,5.07,437.32,5.63,1.272433989,1.188073725,1.319300803
1,31,5.604498224,1414.6,7.06,5166.66,7.18,656.91,6.96,1.259702424,1.281113797,1.241859614
1,32,11.30477049,2935.46,14.53,10408.38,14.46,1021.07,13.87,1.285298098,1.279106022,1.226915665
